iter	RMSE
0	14.53851263
1	12.98277092
2	11.83723993
3	11.15491073
4	10.52503939
5	9.990015977
6	9.399778709
7	9.03906754
8	8.516053769
9	8.257321734
10	7.994900071
11	7.711293958
12	7.51304311
13	7.357463923
14	7.143410934
15	7.039399133
16	6.858311622
17	6.696572808
18	6.576471101
19	6.452371172
20	6.419573334
21	6.319996208
22	6.230103524
23	6.080166736
24	5.990434729
25	5.95868702
26	5.862754817
27	5.751628634
28	5.635203871
29	5.587025726
30	5.543838725
31	5.441248767
32	5.333697547
33	5.215157984
34	5.158452013
35	5.09814483
36	5.021879343
37	4.984410021
38	4.889257284
39	4.819087848
40	4.725007613
41	4.691912069
42	4.639072256
43	4.579264839
44	4.539562861
45	4.496607654
46	4.34742628
47	4.292146766
48	4.228857388
49	4.206586733
50	4.117019225
51	4.071817655
52	4.016408116
53	3.996352847
54	3.909886035
55	3.844992323
56	3.776143702
57	3.709353368
58	3.626003977
59	3.589980757
60	3.524542335
61	3.452869818
62	3.428666356
63	3.405132075
64	3.386885458
65	3.373042164
66	3.3427106
67	3.291985827
68	3.240308684
69	3.222156119
70	3.197676288
71	3.135646969
72	3.101938
73	3.058413368
74	3.018745093
75	2.994183221
76	2.966861487
77	2.94699846
78	2.906904956
79	2.88490245
80	2.856052496
81	2.836004469
82	2.818166804
83	2.812249053
84	2.779462736
85	2.731670366
86	2.718901422
87	2.688837057
88	2.645540535
89	2.591073064
90	2.579328557
91	2.569238198
92	2.561855122
93	2.527489847
94	2.521111341
95	2.494631114
96	2.472291249
97	2.441891852
98	2.421684574
99	2.405635552
