iter	Passed	Remaining
0	52	5169
1	55	2708
2	58	1883
3	60	1461
4	63	1209
5	65	1028
6	67	896
7	69	795
8	70	713
9	71	646
10	73	593
11	74	545
12	75	504
13	76	470
14	77	440
15	79	416
16	80	392
17	81	369
18	82	350
19	84	336
20	84	318
21	85	303
22	86	288
23	87	276
24	88	264
25	88	252
26	89	242
27	90	232
28	91	222
29	91	214
30	92	205
31	93	198
32	94	190
33	94	184
34	95	177
35	96	171
36	96	164
37	97	159
38	98	153
39	99	148
40	99	143
41	100	138
42	101	133
43	101	129
44	102	125
45	103	121
46	103	117
47	104	113
48	105	109
49	105	105
50	106	102
51	106	98
52	107	95
53	108	92
54	108	89
55	109	86
56	110	83
57	110	80
58	111	77
59	112	74
60	112	72
61	113	69
62	114	67
63	114	64
64	115	62
65	116	59
66	116	57
67	117	55
68	118	53
69	118	50
70	119	48
71	119	46
72	120	44
73	121	42
74	122	40
75	122	38
76	123	36
77	124	35
78	125	33
79	125	31
80	126	29
81	127	27
82	127	26
83	128	24
84	129	22
85	129	21
86	130	19
87	131	17
88	131	16
89	132	14
90	133	13
91	133	11
92	134	10
93	135	8
94	135	7
95	136	5
96	137	4
97	137	2
98	138	1
99	139	0
