car_name,registration_year,insurance_validity,fuel_type,ownsership,transmission,manufacturing_year,seats,kms_driven,mileage(kmpl),engine(cc),torque(Nm),price(in lakhs),short_carname
2017 Mercedes-Benz S-Class S400,2017,Comprehensive,Petrol,First Owner,Automatic,2017,5.0,56000.0,7.81,2996.0,333.0,63.75,Mercedes-Benz S-Class
2020 Nissan Magnite Turbo CVT XV Premium Opt BSVI,2021,Comprehensive,Petrol,First Owner,Automatic,2020,5.0,30615.0,17.4,999.0,9863.0,8.99,Nissan Magnite
2018 BMW X1 sDrive 20d xLine,2018,Comprehensive,Diesel,First Owner,Automatic,2018,5.0,24000.0,20.68,1995.0,188.0,23.75,BMW X1
2019 Kia Seltos GTX Plus,2019,Comprehensive,Petrol,First Owner,Manual,2019,5.0,18378.0,16.5,1353.0,13808.0,13.56,Kia Seltos
2019 Skoda Superb LK 1.8 TSI AT,2019,Comprehensive,Petrol,First Owner,Automatic,2019,5.0,44900.0,14.67,1798.0,17746.0,24.0,Skoda Superb
2017 Honda Jazz 1.2 S i VTEC,2017,Third Party,Petrol,First Owner,Manual,2017,5.0,42000.0,18.7,1199.0,887.0,5.45,Honda Jazz
2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,Comprehensive,Petrol,First Owner,Manual,2018,5.0,36739.0,18.9,1197.0,8186.0,5.12,Hyundai Grand
2018 Hyundai Creta 1.6 SX,2018,Comprehensive,Petrol,First Owner,Manual,2018,5.0,76000.0,15.8,1591.0,1213.0,9.3,Hyundai Creta
2015 Mercedes-Benz S-Class S 350 CDI,2015,Comprehensive,Diesel,Second Owner,Automatic,2015,5.0,68000.0,13.5,2987.0,25479.0,42.0,Mercedes-Benz S-Class
2019 Tata Nexon 1.2 Revotron XZ Plus,2019,Comprehensive,Petrol,First Owner,Manual,2019,5.0,28783.0,17.0,1198.0,1085.0,8.02,Tata Nexon
2020 Honda City VX CVT,2020,Comprehensive,Petrol,First Owner,Automatic,2020,5.0,40000.0,17.4,1497.0,1176.0,10.95,Honda City
2021 Renault Duster RXS,2022,Comprehensive,Petrol,First Owner,Manual,2021,5.0,17382.0,16.42,1498.0,10455.0,8.99,Renault Duster
2014 BMW 3 Series 320d Prestige,2014,Third Party,Diesel,First Owner,Automatic,2014,5.0,120000.0,18.88,1995.0,184.0,7.45,BMW 3
2021 Hyundai Venue SX Plus Turbo DCT,2022,Comprehensive,Petrol,First Owner,Automatic,2021,5.0,17000.0,18.15,998.0,11835.0,10.95,Hyundai Venue
2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,Comprehensive,Petrol,First Owner,Manual,2019,5.0,26867.0,18.9,1197.0,8186.0,5.78,Hyundai Grand
2022 Hyundai i20 Asta Opt,2022,Third Party,Petrol,First Owner,Manual,2022,5.0,30000.0,21.0,1197.0,8180.0,8.95,Hyundai i20
2014 BMW 3 Series 320d Luxury Line,2014,Third Party,Diesel,First Owner,Automatic,2014,5.0,150000.0,18.88,1995.0,184.0,8.5,BMW 3
